"state_name","species_code","common_name","scientific_name","percent_pop_breeding","percent_pop_postbreeding_migration","percent_pop_nonbreeding","percent_pop_prebreeding_migration","max_week_season","max_week","max_week_percent_pop","state_rank_breeding","breeding_habitat_primary","breeding_habitat_secondary"
"Alabama","whimbr","Whimbrel","Numenius phaeopus",0,0,0,0.01,"prebreeding_migration","05-03",0.02329,NA,"Tundra:  Arctic","Wetlands:  Boreal"
"Alabama","whocra","Whooping Crane","Grus americana",0,0,0.46,0,"nonbreeding","01-18",0.8266,NA,"Wetlands:  Boreal","Wetlands:  Freshwater Marsh"
"Alabama","whrsan","White-rumped Sandpiper","Calidris fuscicollis",0,0,0,0.02,"prebreeding_migration","05-10",0.07239,NA,"Wetlands:  Tundra",NA
"Alabama","whtspa","White-throated Sparrow","Zonotrichia albicollis",0,1.2,3.35,0.62,"nonbreeding","03-08",3.682,NA,"Forests:  Boreal",NA
"Alabama","willet1","Willet","Tringa semipalmata",0.19,0.5,0.27,0.26,"postbreeding_migration","09-13",0.6802,"24 of 30","Wetlands:  Seasonally Wet Grasslands","Coasts:  Saltmarsh"
"Alabama","wilplo","Wilson's Plover","Anarhynchus wilsonia",1.19,0.13,0,0.08,"breeding","07-05",3.129,"7 of 8","Coasts:  Beach and Estuary",NA
"Alabama","wilsni1","Wilson's Snipe","Gallinago delicata",0,0.25,1.42,0.08,"prebreeding_migration","02-08",2.033,NA,"Wetlands:  Generalist",NA
"Alabama","wiltur","Wild Turkey","Meleagris gallopavo",1.07,1.07,1.07,1.07,"resident","year round resident",NA,"30 of 49","Forests:  Temperate Generalist",NA
"Alabama","winwre3","Winter Wren","Troglodytes hiemalis",0,2.51,6.92,0.25,"nonbreeding","02-01",8.175,NA,"Forests:  Boreal","Forests:  Temperate Eastern"
"Alabama","woewar1","Worm-eating Warbler","Helmitheros vermivorum",4.26,5.78,0,7.16,"prebreeding_migration","04-12",20.26,"8 of 26","Forests:  Temperate Eastern",NA
"Alabama","wooduc","Wood Duck","Aix sponsa",1.09,2.31,7.58,3.27,"postbreeding_migration","12-06",10.63,"28 of 48","Wetlands:  Forested","Forests:  Temperate Eastern"
"Alabama","woosto","Wood Stork","Mycteria americana",0.52,0.16,0,0.09,"breeding","08-30",1.013,"6 of 10","Wetlands:  Forested","Wetlands:  Freshwater Marsh"
"Alabama","woothr","Wood Thrush","Hylocichla mustelina",4.19,9.78,0,4.86,"postbreeding_migration","10-11",27.43,"9 of 36","Forests:  Temperate Eastern",NA
